kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil . | (ac, tidak berfungsi optimal, negative); (wifi koneksi, kurang stabil, negative)
seperti dirumah sendiri , nyaman dan stafnya ramah . terima kasih . | (stafnya, ramah, positive)
akses lokasinya mudah , di sekitar juga ada beberapa makanan terkenal di sby parkir gratis staf ramah kamar cukup nyaman jika anda big size mungkin kurang nyaman atau ada pilihan kamar lagi yang bisa menyesuaikan . | (akses, mudah, positive); (staf, ramah, positive); (kamar, cukup nyaman, positive)
tolong jika hotel sedang di renovasi jangan ' dijual ' dulu , pihak airy sebaiknya mengecek , evaluasi dan monitoring hotelhotel yang bekerjasama dengan airy . hotel ini karena adanya aktivitas tenovasi jadi kotor dan berdebu , mulai dari lobi , tangga sampai ke koridor depan kamar . apalagi kondisi tangganya yang kotor , kusam dan berdebu dan seram . | (lobi, kotor, negative); (lobi, berdebu, negative); (tangga, kotor, negative); (tangga, berdebu, negative); (koridor depan kamar, kotor, negative); (koridor depan kamar, berdebu, negative); (tangganya, kotor, negative); (tangganya, kusam, negative); (tangganya, berdebu, negative); (tangganya, seram, negative)
kamar nyaman . ac dingin pilihan tepat untuk beristirahat . | (kamar, nyaman, positive); (ac, dingin, positive)
lokasinya tidak terlalu jauh dari pusat keramaian jadi enak kalau mau ke pusat kota malang ataupun ke kota batu . | (lokasinya, tidak terlalu jauh, positive)
lokasi strategis , harga terjangkau , kamar bersih . | (lokasi, strategis, positive); (harga, terjangkau, positive); (kamar, bersih, positive)
kamarnya nyaman cuma sayang terlalu sempit saja . | (kamarnya, nyaman, positive); (kamarnya, terlalu sempit, negative)
pelayanan ramah , kamar nyaman dan bersih . | (pelayanan, ramah, positive); (kamar, nyaman, positive); (kamar, bersih, positive)
pelayanan cepat tanggap dan viewnya bagus banget . | (pelayanan, cepat tanggap, positive); (viewnya, bagus banget, positive)
tempatnya nyaman . pelayanan nya baik . pkoknya nyaman deh bisa menginap disini . | (tempatnya, nyaman, positive); (pelayanan nya, baik, positive)
hotel bersih , nyaman , penjaga juga ramah . | (hotel, bersih, positive); (hotel, nyaman, positive); (penjaga, ramah, positive)
kamar besar , luar biasa menyenngkan . tetapi matras kasur murahan alias gemboz , tidak keras . | (kamar, besar, positive); (matras kasur, murahan, negative); (matras kasur, gemboz, negative); (matras kasur, tidak keras, negative)
ac nya dingin . untuk harga segitu okelah . | (ac nya, dingin, positive)
kotor berdebu . saya tidak berhenti bersin ketika awal masuk kamar . kesan kamarnya kumuh . wifi rusak . saya langsung check out . | (kamarnya, kotor berdebu, negative); (kamarnya, kumuh, negative); (wifi, rusak, negative)
pelayanannya kurang oke , kamar tidak di siapkan terlebih dahulu karena kami lambat check in . | (pelayanannya, kurang oke, negative); (kamar, tidak di siapkan, negative)
tidak adda hanger nya sama sekali , susah untuk gantung pakaian di lemari . | (hanger nya, tidak adda, negative)
nyaman dan bersih . | 
kamarnya secara umum nyaman , staf ramah , hanya saja pintu toiletnya tidak ada kuncinya karena rusak . m . | (kamarnya secara umum, nyaman, positive); (staf, ramah, positive); (pintu toiletnya, tidak ada kuncinya, negative); (pintu toiletnya, rusak, negative)
sangat memuaskan . recomended . | 
kamar rapi dan nyman , tetapi untuk sarapan pagi kurang . | (kamar, rapi, positive); (kamar, nyman, positive); (sarapan pagi, kurang, negative)
tempat bersih enak cuma remote ac sama tv kurang agak mati . | (tempat, bersih, positive); (tempat, enak, positive); (remote ac, kurang, negative); (remote ac, agak mati, negative); (tv, kurang, negative); (tv, agak mati, negative)
tidak ada papan plang petunjuk menuju hotel ini ! | (papan plang, tidak ada, negative)
bagus room , good pelayanan , cozy environment . | (room, bagus, positive); (pelayanan, good, positive); (environment, cozy, positive)
pemandangan oke lah , ac nya juga dingin , kolam renang nya lumayan , minus tidak ada air panas , tidak ada keset , tidak ada tempat sampah , seprai cuci nya tidak bersih . perbaiki lagi kebersihan kamar nya . terimakasih airy , over all sesuai harga lah iya . | (pemandangan, oke, positive); (ac nya, dingin, positive); (kolam renang nya, lumayan, positive); (air panas, tidak ada, negative); (keset, tidak ada, negative); (tempat sampah, tidak ada, negative); (seprai cuci nya, tidak bersih, negative); (kebersihan, perbaiki lagi, negative); (harga, sesuai, positive)
kamar bersih dan nyaman . | (kamar, bersih, positive); (kamar, nyaman, positive)
parkir luas tetapi bed covernya sobek toilet keramiknya sudah lepas tetapi tidak dibenarkan terus pouch nya tidak ditoilet harus dikeluhkan dulu baru dikirim . maaf . | (parkir, luas, positive); (bed covernya, sobek, negative); (toilet keramiknya, lepas, negative)
bagus . nyaman . bersih . | 
sangat rekomen banget , tempatnya bersih , rapi , pelayanannya ramah . wangi , pokoknya bagus ! tidak akan nyesal menginap di sini . pasti kami akan berkunjung lagi jika istri dinas ke jakarta lagi : ) . | (tempatnya, bersih, positive); (tempatnya, rapi, positive); (pelayanannya, ramah, positive)
lumayan untuk harga diskon . ac , tv , westafel semua baik . cuma kmrrn habis ada wedding party , belum selesai , jadi sampah nya bau . | (ac, baik, positive); (tv, baik, positive); (westafel, baik, positive)
keseluruhan bagus , cocok untuk tempat singgah . smoking area diparkiran , yang dilantai 2 ribet turun naiknya kalau mau merokok . remote tv nya kemana iya ? | (keseluruhan, bagus, positive)
nyaman . tetapi air keran kecil sekali . | (air keran, kecil sekali, negative)
sayang sekali di kedatangan ini tidak mendapatkan kamar dengan standar airy room . | (standar airy room, tidak, negative)
sangat bersih pula tempatnya . | (tempatnya, sangat bersih, positive)
cukup nyaman untuk keluarga , sangat strategis dengan objek wisata . kebersihan perlu di tingkatkan lagi . kamar yang saya tempati sedikit aroma tidak sedap dari kamar mandi . | (kebersihan, perlu di tingkatkan lagi, negative); (kamar mandi, sedikit aroma tidak sedap, negative)
note : ( untuk hotel ) kamar mandi dari bawah pinggiran kloset suka keluar cacing kecil hitam hilang jika disiram air panas harap di perhatikan thank you . | (kamar mandi, keluar cacing kecil hitam, negative); (pinggiran kloset, keluar cacing kecil hitam, negative)
letak strategis , nyaman mudah dicari dan harga terjangkau . | (letak, strategis, positive); (letak, mudah dicari, positive); (harga, terjangkau, positive)
nyamuk banyak sekali , berisik , kamar tidak sesuai gambar , cuma di sediakan sabun batangan , kasur kotor , lantai seperti ada rumah semut dan selimut kecil dan tipis . | (kamar, nyamuk banyak, negative); (kamar, berisik, negative); (kamar, tidak sesuai gambar, negative); (kasur, kotor, negative); (selimut, kecil, negative); (selimut, tipis, negative)
secara pelayanan saya suka . tetapi ada sdikit yang saya kurang suka dengan toitet nya yang dibeberapa kamar kurang baik . | (pelayanan, suka, positive); (toitet nya, kurang suka, negative); (toitet nya, kurang baik, negative)
masih kurang resepsionis saja yang agak lama harus menunggu lama baru datang tidak stanby dibtempat , all best lah harga murah fasilitas oke . | (resepsionis, kurang, negative); (resepsionis, agak lama, negative); (harga, murah, positive); (fasilitas, oke, positive)
ac tidak dingin . | (ac, tidak dingin, negative)
nyaman , aman dan tenang . | 
lumayan tempatnya bersih , ada air hangat , lebih bagus lagi kalau ada sarapannya . | (tempatnya, lumayan, positive); (tempatnya, bersih, positive); (air hangat, ada, positive)
karena cek outnya jam 00.40 wita minta sarapannya di ganti dengan makan malam tetapi tidak bisa . | 
tempatnya enak kok nyaman . | (tempatnya, enak, positive); (tempatnya, nyaman, positive)
tempat nya strategis , bangunan bagus , cuma kamar berbeda dengan yang di foto ( tidak ada jendela ) , tetapi masih oke . | (tempat nya, strategis, positive); (bangunan, bagus, positive)
pelayan ramah , pemandangan bagus , strategis dekat mall . | (pelayan, ramah, positive); (pemandangan, bagus, positive)
bersih , rapi , berkelas , pelayanan staf bagus . | (pelayanan staf, bagus, positive)
tempat bersih , nyaman , sesuai yang di foto , ada snacknya , pelayanan ramah . | (tempat, bersih, positive); (tempat, nyaman, positive); (snacknya, ada, positive); (pelayanan, ramah, positive)
kamar bersih dan nyaman . cuma sayang air panasnya mati dan mohon untuk memberikan petunjuk arah kiblat agar memudahkan muslim menjalankan sholat . selebihnya good pelayanan . terimakasih airy . | (kamar, bersih, positive); (kamar, nyaman, positive); (air panasnya, mati, negative); (pelayanan, good, positive)
kamar luas , pelayanan ramah , sangat nyaman . | (kamar, luas, positive); (pelayanan, ramah, positive)
lumayan dapat snack , sama diskon nya mantap . | (snack, lumayan dapat, positive); (diskon nya, mantap, positive)
kamarnya kotor , bau , kasurnya banyak kutu . | (kamarnya, kotor, negative); (kamarnya, bau, negative); (kasurnya, banyak kutu, negative)
enak siih tetapi kulkasnya mati , banyak nyamuk . | (kulkasnya, mati, negative)
bagus , cuma diberi room lantai paling atas harus turun tangga karena tidak ada lifnya . | (lifnya, tidak ada, negative)
terima kasih airy telah menawarkan kamar murah dan berkualitas . | (kamar, murah, positive); (kamar, berkualitas, positive)
lumayan untuk first time . | 
hotel bagus , cuma air hangat tidak bisa . | (hotel, bagus, positive); (air hangat, tidak bisa, negative)
menyenangkan sekali bisa liburan bersama keluarga dan menginap di airy . | 
kurang ramah . | 
kebersihan selimut kurang , air panas kadang muncul kadang berhenti . saya beri penilaian 5/10 . | (kebersihan selimut, kurang, negative); (air panas, kadang berhenti, negative)
asyik bisa bertiga sekamar . dapat sarapan juga , walopun sarapannya kalau habis , tidak ditambah lagi he . kamar airy nya juga di lantai 3 , lumayan juga naik tangganya he . tetapi overall oke . | (sarapan, dapat, positive); (sarapannya, tidak ditambah lagi, negative); (overall, oke, positive)
nyaman bersih pelayanan oke . | (pelayanan, oke, positive)
tempat nyaman , pelayann sangat baik . | (tempat, nyaman, positive); (pelayann, sangat baik, positive)
air nya kecil jadi susah mau keramas . , ac nya juga kecil dan tidak isa diatur jadi kepanasan bobo nya . | (air nya, kecil, negative); (ac nya, kecil, negative); (ac nya, tidak isa diatur, negative)
hotelnya nyaman , dengan budget yang minim kita bisa dapat hotel yang melebihi ekspektasi , cuma sayangnya air panasnya mati . | (hotelnya, nyaman, positive); (air panasnya, mati, negative)
sudah beberapa kali menginap disini . dekat juga dengan tempattempat kuliner , meskipun agak masuk gang tetapi lokasi strategis . | (lokasi, strategis, positive)
kamar nya bersih banget dan wangi , pelayan nya ramah , pokoknya memuaskan banget ! | (kamar nya, bersih banget, positive); (kamar nya, wangi, positive); (pelayan nya, ramah, positive)
kamar nyaman bersih , puas banget , harga pun bersahabat . | (kamar, nyaman, positive); (kamar, bersih, positive); (harga, bersahabat, positive)
hanya ac nya agak kurang dingin . | (ac nya, agak kurang dingin, negative)
overall baik . tetapi ac kurang dingin . | (overall, baik, positive); (ac, kurang dingin, negative)
hotel yang sangat bagus , akan tetapi kamar mandi saluran airnya tersumbat harap di perbaiki . | (hotel, sangat bagus, positive); (kamar mandi saluran airnya, tersumbat harap di perbaiki, negative)
tenang , nyaman , tetapi tv error . | (tv, error, negative)
kurang ventilasi jdnya pengap dan kipas di toilet . | (ventilasi, kurang, negative); (ventilasi, pengap, negative); (kipas, kurang, negative)
cukup menyenangkan hanya pelayanan dari resepsiinis yang kurang oke , saya datang jam 1 sing diminta mnunggu dan meninggalkan nomor telepon agar saat room sudah siap saya akan di hubungi , kemudian saya keluar makan siang sehingga jam 2 sing lebih tidak ada kabar dari pihak hotel ternyata room sudah siap saat saya datang lagi . | (pelayanan, kurang oke, negative); (resepsiinis, kurang oke, negative)
harga yang amazing untuk inap yang nyaman , strategis dan ramah . kalau ada acara dipekanbaru lagi insyaallah inap disini lagi cuma pintu kamar mandi tidak bisa ditutup rapat dan kalau terlambat sarapan tidak kebagian makanan he pengalaman yang buat laper . | (harga, amazing, positive); (inap, nyaman, positive); (inap, strategis, positive); (inap, ramah, positive); (pintu kamar mandi, tidak bisa ditutup rapat, negative); (sarapan, tidak kebagian, negative)
kamar bersih , kamar mandi juga bersih . semua oke . | (kamar, bersih, positive); (kamar mandi, bersih, positive); (semua, oke, positive)
colokan cuma satu . air galon habis . tidak ada guling . tidak ada hanger . tolong di follow up wifi oke . kasur oke . | (colokan, cuma satu, negative); (guling, tidak ada, negative); (hanger, tidak ada, negative); (wifi, oke, positive); (kasur, oke, positive)
nyaman , pelayanannya bagus dan fast respons . dekat daerah kampus . | (pelayanannya, bagus, positive); (respons, fast, positive)
fasilitas dan kondisi kamar yang bagus serta nyaman . | (fasilitas, bagus, positive); (kamar, bagus, positive); (kamar, nyaman, positive)
interior memuaskan , pillow case sedikit apek , overall it's good . | (interior, memuaskan, positive); (pillow case, sedikit apek, negative); (overall, good, positive)
kali ini dapat ruangan yang tidak sesuai gambar . sedikit kecewa . | (ruangan, tidak sesuai gambar, negative)
kamar bersih . nyaman . tenang . pelayanan ramah . next time akan kembali lagi . rekomendedd . terimakasih airyrooms . | (kamar, bersih, positive); (kamar, nyaman, positive); (kamar, tenang, positive); (pelayanan, ramah, positive)
sandal pun takdee . tolong di perhatikan lagi knyamanan pengunjung . | (sandal, takdee, negative)
kamar bagus dan baik nyaman , hanya saja banyak nyamuk . | (kamar, bagus, positive); (kamar, baik, positive); (kamar, nyaman, positive); (kamar, banyak nyamuk, negative)
airnya jam 12 malam mati , padahal sangat butuh . | (airnya, mati, negative)
karnaa salah masukkan tanggal jadi nya pembayaran ini sangat siaa sia . | 
nyaman tempat nya : ) . | (tempat nya, nyaman, positive)
overall bagus . sarapannya saja yang minimalis he . | (overall, bagus, positive); (sarapannya, minimalis, negative)
lumayan cocok buat salesman . sayang tidak ada air panas dan wifi . | (air panas, tidak ada, negative); (wifi, tidak ada, positive)
kamar bagus puas pingin kesana lagi setelah pulang dinas luar . | (kamar, bagus, positive); (kamar, puas, positive)
pelayanan yang sangat baik kamar sesuai . | (pelayanan, sangat baik, positive); (kamar, sesuai, positive)
pelayanan ramah dan kamar bersih . | (pelayanan, ramah, positive); (kamar, bersih, positive)
kamar luas , dikamar utama ada kulkas dan balkon ngadep jalan tetapi kebersihan harap diperhatikan lagi . | (kamar, luas, positive); (kebersihan, harap diperhatikan lagi, negative)
